SL,HHNO,HOUSING_TYPE,HH_INCOME,BUSINESS_P_NO,EMPLOYED_P_NO,UNEMPLOYED_P_NO,CAR_OWN,MC_OWN
2677,977,2,3,1,0,2,0,1
2680,978,2,3,1,0,1,0,0
2682,979,3,4,1,0,2,1,1
2685,980,3,3,0,1,2,0,0
2688,981,1,1,1,0,1,0,0
2690,982,1,1,0,1,2,0,0
2693,983,1,2,0,1,2,0,0
2696,984,2,2,1,0,2,0,0
2699,985,3,4,1,0,2,1,0
2702,986,1,1,0,0,2,0,0
2704,987,2,3,1,0,1,0,0
2706,988,2,2,0,1,2,0,0
2709,989,2,1,0,1,1,0,0
2711,990,3,4,2,0,1,0,0
2714,991,1,2,0,1,1,0,0
2716,992,3,2,0,1,2,0,0
2719,993,2,2,1,0,1,0,0
2721,994,2,4,2,0,1,1,1
2724,995,3,3,1,0,3,1,0
2728,996,1,1,0,1,2,0,0
2731,997,2,2,0,1,2,0,0
2734,998,3,3,1,0,2,0,1
2737,999,2,2,1,0,1,0,0
2739,1000,3,4,1,0,2,0,1
2742,1001,1,1,0,1,2,0,0
2745,1002,2,2,0,1,3,0,0
2749,1003,1,1,0,1,1,0,0
2751,1004,3,3,0,1,2,0,1
2754,1005,2,2,0,1,2,0,0
2757,1006,3,4,0,1,1,1,0
2759,1007,3,3,1,0,2,0,1
2762,1008,2,2,1,0,2,0,0
2765,1009,2,2,1,0,2,0,0
2768,1010,3,4,0,1,4,1,0
2773,1011,1,2,2,0,1,0,0
2776,1012,2,2,0,2,1,0,0
2779,1013,3,4,1,0,3,0,1
2783,1014,1,2,1,1,1,0,0
2786,1015,2,3,1,0,2,0,0
2789,1016,1,1,0,1,2,0,0
2792,1017,1,3,0,1,2,0,1
2795,1018,2,3,0,2,0,0,0
2797,1019,1,4,1,1,1,0,1
2800,1020,3,4,0,1,3,0,1
2804,1021,1,4,0,0,3,0,1
2807,1022,2,2,0,1,1,0,0
2809,1023,2,2,0,2,0,0,0
2811,1024,2,3,0,1,2,0,0
2814,1025,3,3,1,1,2,0,1
2818,1026,2,2,1,0,1,0,0
2820,1027,2,2,1,0,1,0,0
2822,1028,1,1,0,1,2,0,0
2825,1029,3,3,1,0,2,0,1
2828,1030,1,2,1,0,2,0,0
2831,1031,1,1,0,1,2,0,0
2834,1032,2,4,1,0,2,0,1
2837,1033,3,4,0,1,4,0,0
2842,1034,3,3,1,1,1,0,0
2845,1035,1,2,0,2,1,0,0
2848,1036,1,1,1,0,2,0,0
2851,1037,2,2,2,0,0,0,0
2853,1038,1,2,1,1,1,0,0
2856,1039,1,1,0,1,2,0,0
2859,1040,2,3,1,0,1,0,0
2861,1041,1,2,0,1,2,0,1
2864,1042,1,1,0,1,1,0,0
2866,1043,3,2,1,0,2,0,0
2869,1044,1,2,1,0,2,0,0
2872,1045,2,2,1,0,1,0,0
2874,1046,3,2,1,0,0,0,0
2875,1047,3,4,0,2,3,1,0
2880,1048,2,2,0,1,3,0,0
2884,1049,1,1,0,1,1,0,0
2886,1050,1,2,1,0,2,0,1
2889,1051,1,2,1,0,3,0,0
2893,1052,1,1,1,0,2,0,0
2896,1053,3,4,1,0,2,1,0
2899,1054,2,2,0,1,2,0,0
2902,1055,2,2,1,1,1,0,1
2905,1056,3,4,0,2,3,0,0
2910,1057,1,4,1,0,3,0,1
2914,1058,2,3,0,1,1,0,0
2916,1059,3,4,1,0,2,1,0
2919,1060,1,1,0,1,2,0,0
2922,1061,3,4,2,0,1,1,1
2925,1062,3,4,2,0,5,1,1
2932,1063,1,2,1,1,1,0,0
2935,1064,2,2,1,0,1,0,0
2937,1065,1,1,0,1,2,0,0
2940,1066,3,4,1,0,1,0,1
2942,1067,3,4,1,1,1,0,0
2945,1068,2,2,1,1,0,0,0
2947,1069,1,3,0,1,3,0,0
2951,1070,2,2,0,1,2,0,0
2954,1071,3,4,0,1,3,1,1
2958,1072,1,2,1,1,1,0,0
2961,1073,1,2,1,0,1,0,0
2963,1074,2,3,1,1,2,0,0
2967,1075,2,2,0,2,1,0,0
2970,1076,1,3,1,0,2,0,1
2973,1077,1,3,1,0,2,0,1
2976,1078,3,4,2,0,2,0,1
2980,1079,1,3,0,2,2,0,0
2984,1080,1,1,1,0,1,0,0
2986,1081,1,3,1,0,2,0,1
2989,1082,1,2,0,0,2,0,1
2991,1083,1,2,0,1,3,0,0
2995,1084,1,1,0,1,3,0,0
2999,1085,1,1,1,0,1,0,0
3001,1086,3,3,0,1,2,0,1
3004,1087,1,2,1,1,2,0,1
3008,1088,1,2,1,0,1,0,0
3010,1089,2,2,0,1,3,0,0
3014,1090,1,3,0,1,2,0,1
3017,1091,2,2,1,1,2,0,0
3021,1092,2,3,1,0,3,0,0
3025,1093,1,2,0,1,2,0,0
3028,1094,2,3,1,0,3,0,1
3032,1095,1,2,0,1,3,0,0
3036,1096,3,3,1,0,3,0,1
3040,1097,3,3,1,0,3,0,0
3044,1098,1,3,1,0,2,0,0
3047,1099,1,2,0,2,2,0,0
3051,1100,3,3,0,1,2,0,0
3054,1101,1,3,0,1,3,0,0
3058,1102,2,3,1,0,3,0,0
3062,1103,3,3,1,0,2,0,1
3065,1104,1,2,0,1,2,0,0
3068,1105,3,4,1,0,2,0,0
3071,1106,1,2,1,0,1,0,1
3073,1107,3,4,0,1,4,1,0
3078,1108,1,2,0,2,1,0,0
3081,1109,3,4,1,0,1,0,1
3083,1110,1,2,0,1,2,0,0
3086,1111,3,4,0,1,2,1,0
3089,1112,3,4,0,1,2,1,1
3092,1113,1,2,0,1,2,0,0
3095,1114,3,4,2,0,2,0,0
3099,1115,1,2,1,0,1,0,1
3101,1116,2,3,0,0,1,0,0
3102,1117,3,4,1,1,2,0,0
3106,1118,3,3,1,0,0,0,1
3107,1119,1,2,0,1,2,0,0
3110,1120,3,3,0,1,2,0,0
3113,1121,1,1,0,1,1,0,0
3115,1122,1,1,0,1,2,0,0
3118,1123,3,4,1,0,2,1,1
3121,1124,2,3,1,1,1,0,0
3124,1125,1,2,1,0,2,0,0
3127,1126,2,3,1,0,1,0,0
3129,1127,2,2,1,0,2,0,0
3132,1128,3,3,1,0,2,0,1
3135,1129,2,4,1,2,2,0,1
